"Date","Transaction","Name","Memo","Amount"
"2021-12-15","DEBIT","WAL-MART #1801         ARLINGTON     TX","24455011348141002924546; 05411; ; ; ;","-22.06"
"2021-12-16","DEBIT","0758 FOREVER 21        ARLINGTON     TX","24231681350400405824430; 05621; ; ; ;","-21.64"
"2021-12-17","DEBIT","VICTORIA'S SECRET 0241 ARLINGTON     TX","24941441350819000482080; 05621; ; ; ;","-37.89"
"2021-12-22","DEBIT","WAL-MART #4215         QUINLAN       TX","24226381356091003954196; 05411; ; ; ;","-13.25"
"2021-12-22","DEBIT","WM SUPERCENTER #4215   QUINLAN       TX","24445001356400126842437; 05411; ; ; ;","-0.93"
"2021-12-23","DEBIT","AB* ABEBOOKS.CO J5HAMH HTTPSWWW.ABEB WA","24011341357000004644138; 05192; ; ; ;","-48.79"
"2021-12-24","DEBIT","BROOKS BROTHERS 06724  ALLEN         TX","24431061357400079000032; 05651; ; ; ;","-51.63"
"2021-12-28","DEBIT","FRONTIER COMM CORP WEB 800-921-8101  CT","24055231361083343029744; 04899; ; ; ;","-69.64"
"2021-12-28","DEBIT","CHAMPION ENERGY SERVIC 281-6535090   TX","24755421361163618326700; 04900; ; ; ;","-52.59"
"2021-12-28","DEBIT","CITY OF IRVING         972-721-2281  TX","24492151361717066428317; 04900; ; ; ;","-92.67"
"2021-12-30","CREDIT","OLD NAVY ON-LINE       800-6536289   OH","74789301363685001263998; 05651; ; ; ;","89.28"
"2021-12-30","CREDIT","OLD NAVY US 3976       ARLINGTON     TX","74692161364100809687300; 05651; ; ; ;","37.88"
"2021-12-30","CREDIT","OLD NAVY US 3976       ARLINGTON     TX","74692161364100809687292; 05651; ; ; ;","94.52"
"2021-12-31","DEBIT","OLD NAVY ON-LINE       800-6536289   OH","24789301364689300893210; 05651; ; ; ;","-32.46"
"2022-01-03","CREDIT","PAYMENT   THANK YOU","WEB FUTURE; 00300; ; ; ;","221.87"
